Quantity,Item,Description,Manufacturer,Link,Cost (No Tax/Shipping)
12,Servo,Powers the wheels and the camera module.,WOWROBO,https://shop.wowrobo.com/products/feetech-sts3215-servo-12v-30kg-high-torque-servo-for-so-arm100?variant=48037575098585, $ 171.88 
1,RPi5/8GB,"Powers the camera module, controls the rover. The ""brains.""",AAAWave,https://aaawave.com/products/raspberry-pi-5-development-broad?variant=51441087152449, $ 150.00 
1,MicroSD,High-powered SD card for video streaming.,Sandisk,https://www.sandisk.com/products/memory-cards/microsd-cards/sandisk-extreme-uhs-i-microsd?sku=SDSQXAH-064G-GN6MA&ef_id=CjwKCAjw08fSBhA7EiwAfbQTsPx3cN8aB8uRMxURR1R-_cF_jo6hdMXSVhwkk3xbFUuyQjc5Nw6JhhoCvhoQAvD_BwE:G:s&s_kwcid=AL!15012!3!!!!x!!!21840826498!&utm_medium=pdsh2&utm_source=gads&utm_campaign=Google-B2C-Conversion-Pmax-NA-US-EN-Memory_Card-All-All-Brand&utm_content=&utm_term=SDSQXAH-064G-GN6MA&cp2=&gad_source=1&gad_campaignid=21836907008&gbraid=0AAAAA-HVYqlJmcvXP8ef7hgjz_7GGBe63&gclid=CjwKCAjw08fSBhA7EiwAfbQTsPx3cN8aB8uRMxURR1R-_cF_jo6hdMXSVhwkk3xbFUuyQjc5Nw6JhhoCvhoQAvD_BwE, $ 25.99 
1,RPi Active Cooler,Provides cooling (improving performance) to the RPi.,Waveshare,https://www.waveshare.com/pi5-active-cooler-b.htm?srsltid=AfmBOorIETeNn6eYTmvhfjgxaVe1lQFtRIerl5n4vl6x1gulRuQlPhX_72c, $ 4.99 
1,Servo Driver HAT,Allows the RPi to control the servos.,,https://www.waveshare.com/bus-servo-driver-hat-a.htm?srsltid=AfmBOoqlVvUrJe6M87IZNdOID4P7R1Pltj9HDUx99dEpqoArwkGcl-Qk, $ 18.99 
1,RPi AI Camera,Allows the RPi to run object detection/livestreaming.,Adafruit,https://www.adafruit.com/product/6009?src=raspberrypi, $ 77.00 
1,Camera Cable - 500mm,Extends the camera module's range.,,https://www.adafruit.com/product/5820?srsltid=AfmBOoq0_7Ll8hyILvBrmsxwfYfdwfZmTf9yRLH91rP_sw95HGtR5fxP, $ 2.50 
3,US-100 Sensor,Allows the RPi to run object avoidance.,,https://www.adafruit.com/product/4019?srsltid=AfmBOopqUSDoBiL8bs7c9R5A7LaGi7uTEd9SzVgCAapdYCJEvjR4OtMU, $ 20.85 
1,"Stacking Header, GPIO",Allows the HAT to be attached onto the Pi alongside the Active Cooler.,,https://www.adafruit.com/product/2223?srsltid=AfmBOorZS7ULUgY6qKUJ5o-jUqtQg7W5RX7llEZ9OVBLOYnNy2c10-HJ, $ 2.95 
12,Male to JST-PH Wires,Allows for the solderless wiring (acting as a breakout board for power-injection).,,https://www.adafruit.com/product/3893, $ 15.00 
12,Female to JST-PH,"Same role as the male wires, composite.",Electromaker,https://www.electromaker.io/shop/product/stemma-jst-ph-3-pin-to-female-socket-cable-200mm?srsltid=AfmBOoor4qgoh85r9CTrWn--_YdJ4-AS2ky31nekim2vtHqDZs7TjVwO, $ 15.00 
1,Ball Bearings,Facilitate the rocker-bogie's rotational freedom.,Amazon,https://www.amazon.com/uxcell-F6901ZZ-Flanged-Bearings-Shielded/dp/B0G1B7H48R/ref=sr_1_7_sspa?crid=JAA7EEQB1MK7&dib=eyJ2IjoiMSJ9.R1GqknQKbk72D7fqKNiJSMeJp6OfUFJRV-qDMKi818pFJDLXGO_XdT_rhyIzrHWJk2wbelVzPU70FqVyDpzP-Feax62ltJ_eKAzW5nWuN1STHdQqcb7WJ79plJJCxsRJ1ALduwgs_r0YmUlzOdq8qroO7Jw9k8oAqu6BgwqOnaYbAmC5d1s8QRifY_2G44-VF3vkcmfMcHVgk9FyFk3OYzoqWe0WpJWWW4tZlaOnexg.eBaMTTB-rTQsRDvsGLDvSYWbIMnxBuEiB6NS4SVBoyI&dib_tag=se&keywords=flanged%2Bbearings%2B5%2Bpack&qid=1783280410&sprefix=flanged%2Bbearings%2Bpack%2Caps%2C262&sr=8-7-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1, $ 7.82 
